'Reference';'Value';'Datasheet';'Footprint';'Qty';'DNP'
'C1';'10uf';'';'Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder';'1';''
'C2';'22uf';'';'Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder';'1';''
'C3,C4,C5,C6,C7,C8,C9,C10,C11';'0.1uf';'';'Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder';'9';''
'CRUBASE1';'CONN_02X04';'';'Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical';'1';''
'D1';'LED_ALT';'';'LED_THT:LED_D3.0mm';'1';''
'J1';'TI32kSideport';'';'Connector_PinSocket_2.54mm:PinSocket_2x22_P2.54mm_Vertical';'1';''
'JTAG1';'AVR-JTAG-10';'';'Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical';'1';''
'Q1';'Q_NPN_BCE';'';'Package_TO_SOT_SMD:SOT-23';'1';''
'R1,R3';'1k';'';'Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder';'2';''
'R2';'330';'';'Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder';'1';''
'R4,R5,R6';'10k';'';'Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder';'3';''
'RPi1';'RPI_CONN_02X05';'';'Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical';'1';''
'T1,T2,T3,T4,T5';'TEST_1P';'';'Connector_Wire:SolderWirePad_1x01_SMD_1x2mm';'5';''
'U1';'XC95144XL-TQ100';'';'Package_QFP:TQFP-100_14x14mm_P0.5mm';'1';''
'U2';'27C256';'';'Package_DIP:DIP-28_W15.24mm_Socket';'1';''
'U3';'74HCT245';'';'Package_SO:SSOP-20_3.9x8.7mm_P0.635mm';'1';''
'U4';'LM1117-3.3';'';'Package_TO_SOT_SMD:SOT-223';'1';''
